original_title,release_year,popularity,director,keywords,runtime,vote_average,Profit
Good Advice,2001,0.203888,Steve Rash,stockbroker,93,5.7,25197618.699245356
James Dean,2001,0.151506,Mark Rydell,biography,90,6.7,25197618.699245356
Freddy Got Fingered,2001,0.202684,Tom Green,wheelchair|slacker|sausage,87,4.3,25197618.699245356
Epoch,2001,0.198443,Matt Codd,,96,3.9,25197618.699245356
Shrek in the Swamp Karaoke Dance Party,2001,0.254157,Vicky Jenson|Andrew Adamson,song|shrek|woman director,3,5.4,25197618.699245356
Zenon: The Zequel,2001,0.017536000000000003,Manny Coto,future|space station,100,4.7,25197618.699245356
Kissing Jessica Stein,2001,0.195196,Charles Herman-Wurmfeld,based on play|independent film|gay romance|lesbian|bisexual,97,5.9,9013424.0
Stanley Kubrick: A Life in Pictures,2001,0.194196,Jan Harlan,career|conversation|interview|history,141,7.5,25197618.699245356
Motocrossed,2001,0.191718,Steve Boyum,sport,110,4.2,25197618.699245356
Le vÃ©lo de Ghislain Lambert,2001,0.191697,Philippe Harel,,119,7.1,25197618.699245356
The Musketeer,2001,0.19156600000000001,Peter Hyams,loss of family|queen|power|power takeover|kingdom,104,5.1,-12946185.0
The Cat's Meow,2001,0.189393,Peter Bogdanovich,sex|blackmail|yacht|kiss|party,114,5.7,-3353006.0
The Forsaken,2001,0.210173,J.S. Cardone,full moon|poster|hitchhiker|homoeroticism|newspaper headline,90,4.6,34823319.79339223
The Lost Battalion,2001,0.18527000000000002,Russell Mulcahy,world war i|war|combat,92,6.0,25197618.699245356
L.I.E. Long Island Expressway,2001,0.18500899999999998,Michael Cuesta,independent film,97,5.2,967192.0
Say It Isn't So,2001,0.173806,J.B. Rogers,,95,5.1,14823319.793392234
Bubble Boy,2001,0.169845,Blair Hayes,lovesickness|niagara falls|crush|youth|illness,84,4.6,25197618.699245356
The Blue Planet,2001,0.114027,Alastair Fothergill,wild sea,400,6.9,25197618.699245356
Conspiracy,2001,0.168793,Frank Pierson,war crimes|holocaust|jew persecution|nazis,96,6.3,25197618.699245356
Novocaine,2001,0.164669,David Atkins,murder|independent film|drug|dentist,95,5.9,-3974762.0
Sugar & Spice,2001,0.26321,Francine McDougall,rebel|american football|robbery|bank|mask,81,5.4,2276953.0
Winning London,2001,0.150233999999999,Craig Shapiro,london|competition|travel|twins|teenager,93,5.7,25197618.699245356
Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys,2001,0.14941400000000002,William R. Kowalchuk Jr.,,74,6.0,25197618.699245356
Bones,2001,0.148963,Ernest R. Dickerson,black people|drug dealer|dying and death|skeleton|crack,96,4.0,-2683342.0
Dogtown and Z-Boys,2001,0.13886099999999899,Stacy Peralta,skateboarding|independent film,91,6.7,25197618.699245356
CQ,2001,0.133455,Roman Coppola,,88,5.9,25197618.699245356
The Anniversary Party,2001,0.19852999999999998,Alan Cumming|Jennifer Jason Leigh,infidelity|ecstasy|party|independent film|woman director,115,5.6,25197618.699245356
Vizontele,2001,0.130018,YÄ±lmaz ErdoÄŸan,,110,7.2,25197618.699245356
The Wash,2001,0.12891,DJ Pooh,sex|fight|surprise during end credits|illegal drug|black american stereotype,93,5.6,3229331.0
Down,2001,0.128169,Dick Maas,new york|terrorist|secret|nightmare|investigation,111,3.7,-14836831.0
Made,2001,0.126065,Jon Favreau,,94,5.8,476060.0
Soul Survivors,2001,0.11678399999999999,Stephen Carpenter,,84,4.5,25197618.699245356
Dagon,2001,0.115221,Stuart Gordon,spain|brother sister relationship|dream|mutant|octopus,95,6.1,35023319.79339223
In the Time of the Butterflies,2001,0.115051,Mariano Barroso,government|dictatorship|butterfly|dominican republic,95,6.1,25197618.699245356
Halloweentown II: Kalabar's Revenge,2001,0.114896,Mary Lambert,witch|magic|sequel|warlock|disney channel,81,6.0,25197618.699245356
Children of the Corn: Revelation,2001,0.10815699999999999,Guy Magar,,82,4.3,25197618.699245356
Holiday in the Sun,2001,0.200262,Steve Purcell,exotic island|twin sister|smuggling|vacation|artifact,87,5.6,25197618.699245356
BelphÃ©gor - Le fantÃ´me du Louvre,2001,0.100277,Jean-Paul SalomÃ©,mummy|mumie,97,4.0,25197618.699245356
Lost and Delirious,2001,0.097715,LÃ©a Pool,sex|based on novel|roommate|identity|secret,103,6.8,25197618.699245356
Baby Boy,2001,0.089976,John Singleton,single parent|intolerance|condom|bootlegger|fistfight,130,7.4,13381649.0
The Lost World,2001,0.080857,Stuart Orme,based on novel|dinosaur|sir arthur conan doyle|lost continent,150,6.4,25197618.699245356
Manic,2001,0.07442,Jordan Melamed,independent film,100,6.6,25197618.699245356
Chori Chori Chupke Chupke,2001,0.047972,Abbas Alibhai Burmawalla|Mastan Alibhai Burmawalla,musical,155,5.5,25197618.699245356
The Luck of the Irish,2001,0.0619169999999999,Paul Hoen,,86,5.3,25197618.699245356
Tanguy,2001,0.047949,Ã‰tienne Chatiliez,paris|china|parents kids relationship|flat|mama's boy,108,5.7,25197618.699245356
Double Take,2001,0.026782999999999998,George Gallo,mexico|cia|fbi|train,88,5.8,25197618.699245356
Rivers and Tides,2001,0.011723,Thomas Riedelsheimer,rainbow|clay|wool|installation|nova scotia canada,90,7.1,25197618.699245356
Little Secrets,2001,0.007336,Blair Treu,,96,6.4,25197618.699245356
Slashers,2001,0.001349,Maurice Devereaux,,99,5.5,39658319.79339223
The Dark Knight,2008,8.46666799999999,Christopher Nolan,dc comics|crime fighter|secret identity|scarecrow|sadism,152,8.1,816921825.0
WALLÂ·E,2008,5.678119000000001,Andrew Stanton,future|garbage|plants|dystopia|lonelyness,98,7.6,341311860.0
Iron Man,2008,4.977955000000001,Jon Favreau,middle east|arms dealer|malibu|marvel comic|comic,126,7.3,445174222.0
Taken,2008,3.647612,Pierre Morel,kidnapping|fbi agent|agent|missing daughter,93,7.2,201830568.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,3.16167,Steven Spielberg,saving the world|riddle|whip|treasure|mexico city,122,5.6,601636033.0
Twilight,2008,3.1076650000000003,Catherine Hardwicke,soulmates|vampire|forbidden love|immortality|trust,122,5.8,355616625.0
Quantum of Solace,2008,3.0866759999999998,Marc Forster,killing|undercover|secret agent|james bond,106,6.0,386090727.0
Kung Fu Panda,2008,3.036644,Mark Osborne|John Stevenson,china|martial arts|kung fu|mentor|snake,90,6.8,501744560.0
Sex Drive,2008,2.90047,Sean Anders,sex|jealousy|virgin|nudity|community,109,5.9,-244064.0
Mamma Mia!,2008,2.543535,Phyllida Lloyd,single parent|greece|musical|daughter|singles,108,6.2,557841637.0
The Curious Case of Benjamin Button,2008,2.5373419999999998,David Fincher,diary|navy|funeral|tea|travel,166,7.2,183932083.0
The Mummy: Tomb of the Dragon Emperor,2008,2.5113939999999997,Rob Cohen,,112,5.1,256128639.0
The Incredible Hulk,2008,2.349544,Louis Leterrier,new york|rio de janeiro|marvel comic|comic|superhero,114,6.1,13712074.0
Gran Torino,2008,2.2453060000000002,Clint Eastwood,rape|war veteran|immigration|priest|gang,116,7.6,236958228.0
Madagascar: Escape 2 Africa,2008,2.217084,Eric Darnell|Tom McGrath,africa|jealousy|dance|hunger|lion,89,6.1,453900354.0
Hellboy II: The Golden Army,2008,2.188028,Guillermo del Toro,auction|northern ireland|resignation|superhero|rebellion,120,6.4,75388063.0
Jumper,2008,2.017536,Doug Liman,adolescence|based on novel|loss of child|fight|chase,88,5.9,137231186.0
Journey to the Center of the Earth,2008,1.996757,Eric Brevig,volcano|prehistoric|dinosaur|prehistoric creature|3d,93,5.7,56702060.0
Wanted,2008,1.982998,Timur Bekmambetov,assassin|loss of father|secret society|mission of murder|revenge,110,6.3,183270008.0
Tinker Bell,2008,1.975355,Bradley Raymond,to tinker|fairy|spring|engineering|gardening,78,6.7,-8176680.206607766
Slumdog Millionaire,2008,1.929591,Danny Boyle|Loveleen Tandan,slum|cheating|suspicion|game show|orphan,120,7.5,362910544.0
Transporter 3,2008,1.886872,Olivier Megaton,,104,5.9,78979549.0
Valkyrie,2008,1.8451650000000002,Bryan Singer,berlin|suicide|bomb|assassination|resistance,121,6.6,125276000.0
"10,000 BC",2008,1.841839,Roland Emmerich,indigenous|lover (female)|pyramid|mammoth|sapient,109,5.2,161000000.0
Hancock,2008,1.800286,Peter Berg,flying|alcohol|love of one's life|forbidden love|lovers,92,6.0,474029371.0
The Hurt Locker,2008,1.742288,Kathryn Bigelow,sniper|explosive|loyalty|us army|iraq,131,7.2,27000000.0
What Happens in Vegas,2008,1.682909,Tom Vaughan,casino|hotel|roommate|fictitious marriage|romantic comedy,99,5.8,135000000.0
The Chronicles of Narnia: Prince Caspian,2008,1.6283450000000002,Andrew Adamson,based on novel|fictional place|lion|human being|wretch,150,6.1,194651413.0
Tropic Thunder,2008,1.622426,Ben Stiller,southeast asia|thunder|land mine|animal skinning|theatrical agent,107,6.4,96072649.0
Eagle Eye,2008,1.611632,D.J. Caruso,artificial intelligence|washington d.c.|secret identity|hostage|technology,118,6.2,98066569.0
The Boy in the Striped Pyjamas,2008,1.6106200000000002,Mark Herman,nationalism|concentration camp|world war ii|gas chamber|nazis,94,7.6,7916563.0
Rambo,2008,1.605544,Sylvester Stallone,missionary|river|boat|pastor|snake,92,6.2,63244290.0
Death Race,2008,1.5830790000000001,Paul W.S. Anderson,car race|dystopia|matter of life and death|prison guard|car set on fire,105,5.9,28762516.0
Step Up 2: The Streets,2008,1.561177,Jon M. Chu,underdog|competition|street gang|hip-hop|breakdance,98,6.4,127816700.0
The Day the Earth Stood Still,2008,1.559851,Scott Derrickson,extraterrestrial technology|spacecraft|ultimatum|evacuation|panic,103,5.1,153093859.0
Starship Troopers 3: Marauder,2008,1.5373370000000002,Edward Neumeier,starships|space marine|melodrama|marauder,105,4.3,30823319.793392234
Seven Pounds,2008,1.531599,Gabriele Muccino,vegetarian|tax collector|pianist|blind|organ transplant,123,7.4,113167691.0
Cloverfield,2008,1.499784,Matt Reeves,helicopter|monster|skyscraper|hero|fight,85,6.4,145764026.0
Bolt,2008,1.480497,Chris Williams|Byron Howard,hamster|kids and family|title spoken by character|duringcreditsstinger,96,6.3,159979994.0
Forgetting Sarah Marshall,2008,1.4759879999999999,Nicholas Stoller,hawaii|one-night stand|beauty,111,6.3,75173115.0
Australia,2008,1.468543,Baz Luhrmann,missionary|world war ii|ranch|australia|british,165,6.3,-80445998.0
Yes Man,2008,1.462377,Peyton Reed,bungee-jump|scooter,104,6.3,155990978.0
Marley & Me,2008,1.462242,David Frankel,journalist|based on novel|puppy|dog|duringcreditsstinger,115,6.8,184082376.0
Body of Lies,2008,1.446456,Ridley Scott,terror|falsely accused person|dying and death|injection|jordan,128,6.5,43280098.0
Burn After Reading,2008,1.435434,Ethan Coen|Joel Coen,blackmail|paranoia|fitness-training|plastic surgery|autobiography,96,6.3,126720069.0
27 Dresses,2008,1.400898,Anne Fletcher,lovesickness|newspaper|bar|sister sister relationship|new love,111,6.1,130259319.0
Inkheart,2008,1.380024,Iain Softley,book|fairy tale|eavesdropping|adventure|writer's block,106,5.8,-2509626.0
21,2008,1.3772389999999999,Robert Luketic,gambling|card game|professor|harvard university|cohabitant,123,6.5,34823199.0
The Bank Job,2008,1.354387,Roger Donaldson,infidelity|subway|car dealer|vault|mannequin,112,6.4,44822796.0
Step Brothers,2008,1.351237,Adam McKay,becoming an adult|autonomy|childhood trauma|hostility|step brother,98,6.6,63107642.0
"Definitely, Maybe",2008,1.341805,Adam Brooks,lovesickness|love of one's life|narration|lovers|kiss,112,6.5,40822266.90585312
Fool's Gold,2008,1.34132,Andy Tennant,helicopter|cemetery|boat|mexican standoff|sword,112,5.3,41231041.0
Never Back Down,2008,1.300453,Jeff Wadlow,rebel|martial arts|underground|fight|training,115,6.5,21627431.0
Pineapple Express,2008,1.273395,David Gordon Green,marijuana|stoner|roach|lollipop|painting toenails,111,6.6,74624843.0
The Wrestler,2008,1.254928,Darren Aronofsky,supermarket|heart attack|ambition|daughter|wrestling,109,7.0,38703995.0
Bedtime Stories,2008,1.22837,Adam Shankman,wishes come true|escapade|disorder|imaginary|miraculous event,99,5.8,132874442.0
Punisher: War Zone,2008,1.210534,Lexi Alexander,broken neck|fbi agent|wall safe|trashed house|aerial shot,102,5.5,-10410627.0
Max Payne,2008,1.172718,John Moore,assassin|based on video game|aftercreditsstinger,100,5.3,50416905.0
Mirrors,2008,1.169851,Alexandre Aja,spiegel,110,6.0,37436439.0
Vantage Point,2008,1.14205499999999,Pete Travis,bomb|terror|spain|u.s. president|terrorist,90,6.2,111161491.0
Zack and Miri Make a Porno,2008,1.133017,Kevin Smith,pornography|love of one's life|platonic love|pornographic video|best friend,102,6.0,18105111.0
Get Smart,2008,1.1214870000000001,Peter Segal,dancing|spy|terrorist|traitor|airplane,110,5.9,150685453.0
Role Models,2008,1.1034680000000001,David Wain,camping|campsite|big brother|friends|community service,99,6.3,64380927.0
The Scorpion King: Rise of a Warrior,2008,1.09571,Russell Mulcahy,mercenary|training|greek,109,4.3,25197618.699245356
Frost/Nixon,2008,1.09445,Ron Howard,camera|lie|scandal|watergate scandal|richard nixon,122,6.8,25197618.699245356
High School Musical 3: Senior Year,2008,1.0918780000000001,Kenny Ortega,musical|music|high school|coming of age|teenager,116,6.1,25197618.699245356
The Reader,2008,1.0724850000000001,Stephen Daldry,germany|war crimes|trial|female prisoner|law student,124,7.1,7823319.793392234
Babylon A.D.,2008,1.0647659999999999,Mathieu Kassovitz,submarine|baby|secret|future|mercenary,101,5.4,2108608.0
Diario de una ninfÃ³mana,2008,1.056526,Christian Molina,nymphomaniac|prostitution|red dress|female genitalia|promiscuous past,95,5.6,25197618.699245356
In Bruges,2008,1.054819,Martin McDonagh,bruges belgium|town square|vietnamese|canadian stereotype|skinned alive,107,7.3,17002538.0
Changeling,2008,1.043504,Clint Eastwood,corruption|mother|nudity|minister|power,141,7.1,58020255.0
The Spiderwick Chronicles,2008,1.019335,Mark Waters,brother sister relationship|family relationships|single mother|alternate reality|mother child relationship,95,6.2,72839667.0
Harold & Kumar Escape from Guantanamo Bay,2008,1.01377,Jon Hurwitz|Hayden Schlossberg,terrorist|aftercreditsstinger|duringcreditsstinger,107,6.0,31493123.0
The Accidental Husband,2008,1.007673,Griffin Dunne,indian|fictitious marriage|blonde|revenge|beautiful woman,90,5.2,8081362.905853121
Wild Child,2008,0.988883,Nick Moore,diving|england|boarding school|spoiled child|girls' boarding school,98,6.3,25197618.699245356
Felon,2008,0.9783129999999999,Ric Roman Waugh,prison|fight|murder|break in,103,6.9,36923319.79339223
Snow Buddies,2008,0.95811,Robert Vince,,87,4.6,25197618.699245356
Kung Fu Panda: Secrets of the Furious Five,2008,0.9577040000000001,Raman Hui,martial arts|kung fu|animation|anthropomorphic animal,25,6.4,25197618.699245356
Street Kings,2008,0.9568399999999999,David Ayer,police|los angeles,109,6.2,45569869.0
Nick and Norah's Infinite Playlist,2008,0.951793,Peter Sollett,teenager|gay friend|child|based on young adult book,89,6.4,23973937.0
Four Christmases,2008,0.943042,Seth Gordon,holiday|baby|vomit|elvis|xbox 360,88,5.3,83733697.0
Another Cinderella Story,2008,0.938876,Damon Santostefano,dancer|cinderella|dance|masked ball|fairy tale,90,6.2,34823319.79339223
Stargate: The Ark of Truth,2008,0.9385549999999999,Robert C. Cooper,wormhole|supernatural powers|spaceship|alien|stargate,97,6.8,1900000.0
The House Bunny,2008,0.931752,Fred Wolf,virgin|nudity|college|costume|yoga,97,5.6,45442940.0
Presto,2008,0.905428,Doug Sweetland,stage|banjo|magic|bunny|rabbi,5,8.0,25197618.699245356
Star Wars: The Clone Wars,2008,0.900342,Dave Filoni,android|jedi|sith|3d animation|clone army,98,6.0,59782844.0
Saw V,2008,0.892309,David Hackl,,92,5.9,103057533.0
The Love Guru,2008,0.885215,Marco Schnabel,sport|hockey|guru|comedy|bollywood,87,4.5,-20180936.0
Speed Racer,2008,0.879116,Lana Wachowski|Lilly Wachowski,car race|loss of brother|chimp|family|duringcreditsstinger,135,5.6,-26054234.0
Vicky Cristina Barcelona,2008,0.866771,Woody Allen,barcelona spain|menage a trois|author,96,6.7,81408652.0
Horton Hears a Who!,2008,0.8651049999999989,Jimmy Hayward|Steve Martino,elephant|rescue|jungle,88,6.2,212138014.0
The Duchess,2008,0.857292,Saul Dibb,england|adultery|duke|gambling debts|marriage crisis,110,6.6,25197618.699245356
Happy-Go-Lucky,2008,0.8424879999999989,Mike Leigh,london|optimism|homeless person|daily life|role of women,118,5.9,3505186.9058531206
The Forbidden Kingdom,2008,0.826564,Rob Minkoff,tempel|shaolin|urination|teenager|staff,104,6.2,72906624.0
Che: Part One,2008,0.825749,Steven Soderbergh,che guevara,134,6.5,9823319.793392234
BURNâ€¢E,2008,0.822831,Angus MacLane,pixar animated short|space|robot,8,7.9,25197618.699245356
Righteous Kill,2008,0.822759,Jon Avnet,,101,5.8,13174566.0
Transsiberian,2008,0.8027850000000001,Brad Anderson,china|married couple|backpacker|firearm|police,111,6.3,-9073590.0
Traitor,2008,0.798582,Jeffrey Nachmanoff,bomb|prison|alcohol|traitor|delinquent,114,6.2,1530831.0
You Don't Mess With the Zohan,2008,0.787623,Dennis Dugan,new york|israel|middle east|hairdresser|ladykiller,113,5.6,111596308.0
Defiance,2008,0.7859510000000001,Edward Zwick,brother brother relationship|fight|world war ii|brother|survivor,137,6.6,19155219.0
Management,2008,0.780936,Stephen Belber,motel|longing|marriage|pregnancy,94,5.1,-12191043.09414688
Untraceable,2008,0.774511,Gregory Hoblit,suicide|fbi|snuff|sadism|investigation,101,5.8,-2516590.0
The Good Witch,2008,0.7708109999999989,Craig Pryce,,89,5.5,25197618.699245356
LOL (Laughing Out Loud),2008,0.765289,Lisa Azuelos,woman director,103,6.4,25197618.699245356
The Strangers,2008,0.764367,Bryan Bertino,mask|victim of murder|murder|bag over head|slasher,90,5.9,73391145.0
Stargate: Continuum,2008,0.762934,Martin Wood,time travel|spaceship|alien|alien invasion|stargate,98,6.6,32823319.793392234
Milk,2008,0.7596729999999989,Gus Van Sant,gay|san francisco|homophobia|mayor|camera,128,7.1,34586584.0
Outlander,2008,0.749838,Howard McCain,norway|monster|flying saucer|viking,115,6.0,-42966317.0
The X Files: I Want to Believe,2008,0.748854,Chris Carter,extraterrestrial technology|fbi|alien|fbi agent|duringcreditsstinger,104,5.4,38369434.0
Doubt,2008,0.743689,John Patrick Shanley,sexual abuse|boy|wine|gift|janitor,104,6.7,30907234.0
Rachel Getting Married,2008,0.73292,Jonathan Demme,sister|independent film|maid of honor,113,6.1,25197618.699245356
A Matter of Loaf and Death,2008,0.730324,Nick Park,bakery|love|murder|mystery,30,7.0,25197618.699245356
City of Ember,2008,0.721663,Gil Kenan,underground world|mayor|adventure|post-apocalyptic|dystopia,90,6.1,-37130952.0
Made of Honor,2008,0.720175,Paul Weiland,scotland|love of one's life|ladykiller|one-night stand|bridesmaid,101,5.8,44601681.0
The Other Boleyn Girl,2008,0.719955,Justin Chadwick,england|sister sister relationship|queen|kingdom|henry viii,115,6.3,4823319.793392234
The Lazarus Project,2008,0.718964,John Glenn|Charles Crossin|Ronaldo Nacionales|Markian Saray,robbery|death penalty|criminal past|symbol|chainsaw,100,5.9,-14067701.09414688
Deception,2008,0.715969,Marcel Langenegger,deception,107,5.8,-7258702.0
RockNRolla,2008,0.714882,Guy Ritchie,london|gang leader|money|gang|crime,114,6.8,7739015.0
The Eye,2008,0.709809,David Moreau|Xavier Palud,sister sister relationship|blindness and impaired vision|eye operation|eyesight|dying and death,98,5.6,44309766.0
Elegy,2008,0.7023020000000001,Isabel Coixet,sexual attraction|cuban|critic|hedonism|possessiveness,112,6.3,1894347.0
Bangkok Dangerous,2008,0.6964060000000001,Oxide Pang Chun|Danny Pang,assassin|asia|gun|deaf-mute|hitman,99,5.0,-2512610.0
Meet the Spartans,2008,0.68675,Jason Friedberg|Aaron Seltzer,fight|queen|penguin|black hole|men,84,4.0,54646831.0
Stop-Loss,2008,0.68078,Kimberly Peirce,post traumatic stress  disorder|iraq war veteran|u.s. soldier|woman director,113,6.1,-13792870.0
Drillbit Taylor,2008,0.675717,Steven Brill,prison|jealousy|homeless person|beach|parents kids relationship,102,5.3,-176680.20660776645
"Synecdoche, New York",2008,0.674834,Charlie Kaufman,new york|man-woman relation|writer,124,7.4,18823319.793392234
My Sassy Girl,2008,0.66791,Yann Samuell,remake of korean film,92,6.2,25197618.699245356
Blindness,2008,0.6664140000000001,Fernando Meirelles,fight|blindness and impaired vision|asylum|leader|society,121,6.3,-5155021.0
The Spirit,2008,0.66173,Frank Miller,secret identity|robber|mask|frog|based on comic strip,103,4.6,-20968663.0
Sleepwalking,2008,0.651972,William Maher,child abuse|road trip|independent film|foster daughter,101,6.4,-14421041.09414688
Nothing But the Truth,2008,0.651467,Rod Lurie,,108,6.1,-11313298.0
Eden Lake,2008,0.648934,James Watkins,lake|camping|revenge|forest|couple,91,6.8,-10641704.09414688
Appaloosa,2008,0.646243999999999,Ed Harris,,115,6.2,211394.0
The Informers,2008,0.6450640000000001,Gregor Jordan,based on novel|yuppie|kidnapper|porsche|kidnapping,98,4.3,-17617826.0
The Happening,2008,0.642656,M. Night Shyamalan,tree|natural disaster|crisis|park|strange behavior,91,4.8,103403799.0
Doomsday,2008,0.634961,Neil Marshall,dystopia|quarantine|futuristic|sword fight|lethal virus,105,5.8,-7788574.0
The Secret of Moonacre,2008,0.634256,GÃ¡bor CsupÃ³,,103,5.7,-4929670.0
Joy Ride 2: Dead Ahead,2008,0.633135,Louis Morneau,sequel|trucker,91,5.4,34823319.79339223
Bronson,2008,0.632340999999999,Nicolas Winding Refn,prison|isolation,92,6.9,25197618.699245356
Vals Im Bashir,2008,0.630893,Ari Folman,israel|palestine|middle east|lebanon|nightmare,90,7.7,9125849.0
Max Manus,2008,0.626646,Joachim RÃ¸nning|Espen Sandberg,bomb|resistance|norway|world war ii|nazis,118,6.9,39823311.79339223
Dr. Dolittle: Tail to the Chief,2008,0.624139999999999,Craig Shapiro,kids and family|animal,85,4.9,25197618.699245356
Sex and the City,2008,0.6204890000000001,Michael Patrick King,city portrait|hotel|new year's eve|forgiveness|fashion journal,145,6.1,350252786.0
The Rocker,2008,0.615524,Peter Cattaneo,1970s|drums|groupie|musical|rock,102,5.4,-6237110.0
Barbie Mariposa and Her Butterfly Fairy Friends,2008,0.611016,Conrad Helten,barbie,75,5.4,25197618.699245356
The Tale of Despereaux,2008,0.6067,Robert Stevenhagen|Sam Fell,totalitarian regime|mouse,100,5.7,-9122855.0
Zombie Strippers!,2008,0.603395,Jay Lee,strip club|striptease|zombies|lap dance|splatter,94,4.4,25197618.699245356
Niko: LentÃ¤jÃ¤n poika,2008,0.59883,Michael Henger|Kari Juusonen,holiday|christmas,80,4.9,33723319.79339223
Superhero Movie,2008,0.598695,Craig Mazin,anti hero|high school|dragonfly|superhero|radioactive,85,4.9,-9128166.0
The Secret Life of Bees,2008,0.595488,Gina Prince-Bythewood,woman director,114,7.2,27105395.0
100 Feet,2008,0.595424,Eric Red,house arrest|number in title|haunting|vengeful ghost,105,5.8,29823319.793392234
The Other Man,2008,0.593722,Richard Eyre,woman between two men|betrayal,90,5.1,-13856144.0
Beverly Hills Chihuahua,2008,0.589940999999999,Raja Gosnell,dog dirt|chihuahua|pinata|potted plant|duringcreditsstinger,91,5.1,129281606.0
The Burning Plain,2008,0.58326,Guillermo Arriaga,mexico|independent film|mother daughter relationship,111,6.7,19823319.793392234
Revolutionary Road,2008,0.579469999999999,Sam Mendes,adultery|jealousy|infidelity|career|marriage crisis,119,6.5,40225693.0
Be Kind Rewind,2008,0.578298,Michel Gondry,camcorder|videoband|delusion|nuclear power plant|video store,102,6.1,25197618.699245356
Sunshine Cleaning,2008,0.5769890000000001,Christine Jeffs,suicide|single parent|sister sister relationship|cleaning lady|new mexico,102,6.2,11174377.0
Futurama: The Beast with a Billion Backs,2008,0.574813,Peter Avanzino,saving the world,90,6.8,25197618.699245356
The Andromeda Strain,2008,0.5725,Mikael Salomon,extraterrestrial|tv mini-series|disease|scientist,180,6.6,25197618.699245356
The Ruins,2008,0.563354,Carter Smith,maya civilization|carnivorous plant|cancÃºn,91,5.1,31823319.793392234
Camp Rock,2008,0.560837,Matthew Diamond,rock star|summer camp|aspiring singer|camp|singing,94,5.8,25197618.699245356
Ghost Town,2008,0.555690999999999,David Koepp,dying and death|misanthrope|lecture|cardiopulmonery resuscitation,102,6.1,25197618.699245356
Hunger,2008,0.54408,Steve McQueen,prison|prisoner|hunger|hunger strike|northern ireland,96,7.1,-11901227.09414688
Fifty Dead Men Walking,2008,0.541117,Kari Skogland,ira|slot machine|riot police|woman director,117,6.0,25197618.699245356
Dead Space: Downfall,2008,0.540913,Chuck Patton,vacuum|fanatic|colony|infection|graphic violence,74,6.0,25197618.699245356
The Art of War II: Betrayal,2008,0.538299,Josef Rusnak,,103,4.9,25197618.699245356
Futurama: Bender's Game,2008,0.5340590000000001,Dwayne Carey-Hill,,88,6.9,25197618.699245356
Ong Bak 2,2008,0.5319050000000001,Tony Jaa|Panna Rittikrai,sequel,98,6.2,436663.0
Miss Pettigrew Lives for a Day,2008,0.528292,Bharat Nalluri,london|world war ii|singer|governess|piano,92,6.4,1425661.9058531206
Pride and Glory,2008,0.5273979999999989,Gavin O'Connor,megacity|brother-in-law|police,130,6.3,1148328.0
Splinter,2008,0.521748,Toby Wilkins,alien infection,82,6.0,-14501510.09414688
Robot Chicken: Star Wars Episode II,2008,0.520388,Seth Green,,23,6.2,25197618.699245356
"Surfer, Dude",2008,0.518011,S.R. Bindler,surfing|sport,85,5.0,-5930503.0
Baby Mama,2008,0.517412,Michael McCullers,pregnancy and birth|surrogate mother,99,5.8,33833449.0
The Colour of Magic,2008,0.514454,Vadim Jean,university|discworld,191,6.2,25197618.699245356
College,2008,0.5134380000000001,Deb Hagan,sexuality|college|girlfriend|vomit|celebration,94,4.8,-769724.0
The Stoning of Soraya M.,2008,0.511786,Cyrus Nowrasteh,adultery|persia|death penalty|sadism|double moral standard,114,8.0,25197618.699245356
Fireflies in the Garden,2008,0.509401,Dennis Lee,unpaid bill|windshield|walking on roof|rap music,108,6.2,25197618.699245356
Brideshead Revisited,2008,0.5052909999999989,Julian Jarrold,england|new love|castle|siblings|studies,133,6.0,-6795709.0
Shutter,2008,0.503798,Masayuki Ochiai,japan|suicide|photographer|honeymoon|nightmare,85,5.4,25197618.699245356
College Road Trip,2008,0.5005109999999989,Roger Kumble,road trip,83,5.1,53771960.90585312
The Brothers Bloom,2008,0.49916499999999997,Rian Johnson,con man|estafa,114,6.8,-14469236.0
Meet Dave,2008,0.498026,Brian Robbins,new york|captain|starships|new love|earth,90,5.1,-9349921.0
War Games: The Dead Code,2008,0.48953900000000006,Stuart Gillard,bomb|washington d.c.|computer|sequel|death of father,96,5.6,25197618.699245356
Quarantine,2008,0.481188,John Erick Dowdle,quarantine|remake|tv reporter|found footage|virus,89,5.3,28855419.0
Chaos Theory,2008,0.48013500000000003,Marcos Siega,fight|underwear|medical test|groom|list,87,5.9,-14385225.09414688
Justice League: The New Frontier,2008,0.480116,Dave Bullock,dc comics|superhero|super powers,75,6.3,1731128.0
Pathology,2008,0.47729499999999997,Marc SchÃ¶lermann,female nudity|pathology|student of medicine|extortion|drug use,95,5.9,31823319.793392234
One Missed Call,2008,0.475129,Eric Valette,candy|loss of sister|mobile phone|answering machine|dying and death,87,4.8,19823319.793392234
Deadgirl,2008,0.47434399999999893,Marcel Sarmiento|Gadi Harel,rape|asylum|necrophilia,101,4.9,25197618.699245356
"Angus, Thongs and Perfect Snogging",2008,0.472691,Gurinder Chadha,adolescence|parents kids relationship|becoming an adult|puberty|move,100,6.5,39823318.79339223
Towelhead,2008,0.472491,Alan Ball,small town|puberty|arabian|pedophilia|gulf war,111,5.3,-14258063.09414688
